date,state,positive,,negative,totalTestResults,recovered,dataQualityGrade,death,,,,,,,,,,
20210116,Alaska,50017,,1348632,1398649,7165,A,229,,,,,,,,,,
20210116,Alabama,420681,,1686680,2021123,221961,A,6119,,,,,,,,,,
20210116,Arkansas,270178,,2043157,2261205,240051,A+,4293,,,,,,,,,,
20210116,AS,0,,2140,2140,,N/A,0,,,,,,,,,,
20210116,Arizona,666901,,2563182,5969026,90640,A+,11248,,,,,,,,,,
20210116,California,2900246,,34902009,37802255,,B,32960,,,,,,,,,,
20210116,Colorado,373483,,1932033,4973741,19762,A,5363,,,,,,,,,,
20210116,Connectiuct,223422,,4657514,4880936,9800,B,6594,,,,,,,,,,
20210116,District of Columbia,33537,,966955,1000492,23319,A+,847,,,,,,,,,,
20210116,Delaware,69372,,481791,1108131,18851,A+,1016,,,,,,,,,,
20210116,Forida,1531830,,7963652,17546717,,A,24380,,,,,,,,,,
20210116,Georgia,674994,,5212706,5887700,,A+,12291,,,,,,,,,,
20210116,Guam,7481,,92993,100474,7220,B,126,,,,,,,,,,
20210116,Hawaii,24813,,,905322,11958,A,320,,,,,,,,,,
20210116,Iowa,256403,,958326,1214729,265320,A+,4321,,,,,,,,,,
20210116,Idaho,154470,,447866,574288,70163,A,1603,,,,,,,,,,
20210116,Illinois,1064667,,13602481,14667148,,A,20020,,,,,,,,,,
20210116,Indiana,587049,,2232815,6386194,375699,A+,9287,,,,,,,,,,
20210116,Kansas,256134,,844231,1100365,5138,A+,3502,,,,,,,,,,
20210116,Kentucky,324325,,3142747,3400741,40541,A+,3093,,,,,,,,,,
20210116,Louisiana,364853,,4228575,4593428,298614,A,8080,,,,,,,,,,
20210116,Massachusetts,465726,,3890048,12259486,324203,A+,13583,,,,,,,,,,
20210116,Maryland,324031,,2705207,6408323,9451,A,6541,,,,,,,,,,
20210116,Maine,33219,,1205766,1238985,11952,A+,507,,,,,,,,,,
20210116,Michigan,581785,,8225829,8807614,442408,A+,14669,,,,,,,,,,
20210116,Minnesota,445047,,2707239,5836107,425253,A,5887,,,,,,,,,,
20210116,Missouri,436199,,1715723,3920745,,A+,6253,,,,,,,,,,
20210116,Northern Marianas,128,,17429,17557,29,D,2,,,,,,,,,,
20210116,Mississippi,250869,,1222926,1473795,198888,A+,5481,,,,,,,,,,
20210116,Montana,89056,,785887,874943,82920,A,1088,,,,,,,,,,
20210116,North Carolina,667826,,7346232,8014058,521475,A+,8016,,,,,,,,,,
20210116,North Dakota,95714,,291581,1301427,92820,B,1395,,,,,,,,,,
20210116,Nebraska,180910,,701962,1908692,124963,A,1837,,,,,,,,,,
20210116,New Hampshire,55945,,520382,1138549,48937,B,927,,,,,,,,,,
20210116,New Jersey,622089,,8060712,8682801,62155,A,20414,,,,,,,,,,
20210116,New Mexico,162893,,1977712,2140605,84803,A,2910,,,,,,,,,,
20210116,Nevada,260090,,1012582,2317860,,A+,3761,,,,,,,,,,
20210116,New York,1219548,,27513443,28732991,114868,B,32725,,,,,,,,,,
20210116,Ohio,821507,,7706129,8431240,672231,A+,10135,,,,,,,,,,
20210116,Oklahoma,351665,,2601000,2952665,309057,A+,2952,,,,,,,,,,
20210116,Oregon,131258,,2788308,2919566,5870,A+,1758,,,,,,,,,,
20210116,Pennsylvania,761777,,3455231,4217008,578950,A+,19188,,,,,,,,,,
20210116,Puerto Rico,86523,,305972,392495,73760,B,1703,,,,,,,,,,
20210116,Rhode Island,104443,,588709,2242295,6229,A+,2005,,,,,,,,,,
20210116,South Carolina,382422,,3280890,3663312,173075,A+,6108,,,,,,,,,,
20210116,South Dakota,105278,,285242,390520,98808,A+,1633,,,,,,,,,,
20210116,Tennessee,680847,,5416304,6097151,605596,A+,8355,,,,,,,,,,
20210116,Texas,2097560,,13746702,15584254,1666745,A,31831,,,,,,,,,,
20210116,Utah,322252,,1376445,2448874,264246,A+,1485,,,,,,,,,,
20210116,Vrignia,429391,,4412843,4764813,35095,A+,5706,,,,,,,,,,
20210116,Virgin Islands,2166,,35759,37925,2008,D,24,,,,,,,,,,
20210116,Vermont,9915,,276341,796904,6633,B,163,,,,,,,,,,
20210116,Washington,285970,,3906130,4179833,,A,3903,,,,,,,,,,
20210116,Wisconsin,566275,,2432726,5772267,487754,A+,5905,,,,,,,,,,
20210116,West Virginia,108124,,1651857,1759981,79109,B,1761,,,,,,,,,,
20210116,Wyoming,49068,,164801,549805,46734,B,522,,,,,,,,,,